,hfi
ABW,0.058603379818838314
AFG,0.03128816912918974
AGO,0.03904515810653163
AIA,0.05354896212245664
ALB,0.025549714701073638
AND,0.05825183992264043
ANS,0.06429458319221744
ANT,0.04092350760820737
ARE,0.02900278107266884
ARG,0.033507948155420214
ARM,0.04327978321948468
ASM,0.14504245563614931
ATA,0.1448722999490976
ATF,0.09984416847708226
ATG,0.060791165883777615
AUS,0.040070035559679903
AUT,0.02125393442157181
AZE,0.024676562686581253
BDI,0.056881923817107785
BEL,0.02347933936643748
BEN,0.022420756020628724
BFA,0.0212421123756158
BGD,0.030099589267823818
BGR,0.02106868108674317
BHR,0.03849412317141808
BHS,0.02728251992336743
BIH,0.03520989255239211
BLR,0.030545751332737157
BLZ,0.032278208872182454
BMU,0.07344637499400969
BOL,0.03894771336368259
BRA,0.019620148303634236
BRB,0.03845817009199619
BRN,0.050382342936344374
BTN,0.0513784496956929
BVT,0.03350144191898147
BWA,0.04067713417884227
CAF,0.045035981996121764
CAN,0.02057026437989366
CCK,0.1558465185827505
CHE,0.02604595190586357
CHL,0.028241250111600943
CHN,0.027441105023388566
CIV,0.01602406103178198
CMR,0.022060036787473314
COD,0.015627895427376397
COG,0.020497009321336357
COK,0.07402302883540203
COL,0.0386521573382172
COM,0.05032889339041292
CPV,0.06731552537461917
CRI,0.03214745660420333
CUB,0.03631854107959636
CXR,0.2223740969049555
CYM,0.10899942739924844
CYP,0.03315610535786781
CZE,0.024619560645379478
DEU,0.030094610910708832
DJI,0.04206825151895883
DMA,0.03223196787307931
DNK,0.026378160327866766
DOM,0.03016087692524282
DZA,0.02653623305502299
ECU,0.043293088420789175
EGY,0.016578038249084718
ERI,0.05221568644993747
ESH,0.15580276324886932
ESP,0.016632022643912295
EST,0.030854416290680232
ETH,0.03029934249037153
FIN,0.03711772980220901
FJI,0.07619090556464185
FLK,0.04905659588977684
FRA,0.01760385512214203
FRO,0.047342857870051644
FSM,0.09779260097574914
GAB,0.03141403623291325
GBR,0.030157259344609496
GEO,0.03325452910815007
GHA,0.027727362196923216
GIB,0.062445870612969724
GIN,0.022058550651605408
GMB,0.03102066047616865
GNB,0.021268010155466636
GNQ,0.03372480686842357
GRC,0.026345311903073928
GRD,0.03176528785353182
GRL,0.12035923200685206
GTM,0.03252086322033599
GUM,0.1138719692297601
GUY,0.03386119550961628
HKG,0.05591095129883673
HMD,0.08236436013968482
HND,0.032554482245035696
HRV,0.022604737818061226
HTI,0.032715380575693245
HUN,0.03947556232216823
IDN,0.021800879125968557
IND,0.026914164365998423
IOT,0.09927944616054035
IRL,0.03952470447013467
IRN,0.028513842503739825
IRQ,0.032934436235714494
ISL,0.04483497263103783
ISR,0.037573279346010714
ITA,0.021012909422347046
JAM,0.03377953322422257
JOR,0.027663128921055442
JPN,0.03217190597076239
KAZ,0.02390602953523021
KEN,0.026759978839160727
KGZ,0.04616269759441351
KHM,0.04681357265344343
KIR,0.07532608084125021
KNA,0.04176881694584808
KOR,0.0291585463113463
KWT,0.023951703210780197
LAO,0.0578376309420357
LBN,0.029278576329742463
LBR,0.062720395391855
LBY,0.027990796099410898
LCA,0.048057437516866176
LKA,0.03796472233690411
LSO,0.21994322451129794
LTU,0.045732252378307525
LUX,0.052076865979525974
LVA,0.035643817942001776
MAC,0.056324339882399745
MAR,0.021891719769468406
MDA,0.028515980446643448
MDG,0.031972764658010605
MDV,0.05562249940715649
MEX,0.02795505759566243
MHL,0.08604310068374676
MKD,0.03746487834120952
MLI,0.02597450773048104
MLT,0.03811342374464083
MMR,0.13316885415001473
MNE,0.03617309236059311
MNG,0.03925649925666977
MNP,0.14777990595066826
MOZ,0.02938834853239065
MRT,0.03564744523420177
MSR,0.03999226099505046
MUS,0.024525121176740418
MWI,0.017885550403904115
MYS,0.030409988616514276
MYT,0.042408474763985855
NAM,0.02724722750133373
NCL,0.0516904482093654
NER,0.026584441272273426
NFK,0.15271247436672764
NGA,0.02356825698289268
NIC,0.05288331320619925
NIU,0.08800057912471546
NLD,0.023059555361618238
NOR,0.03993588809507813
NPL,0.04744640186371246
NRU,0.015670489244504798
NZL,0.028256679871610388
OMN,0.03802716384516115
PAK,0.026673126075855456
PAN,0.02234127943119511
PCN,0.13804711085044824
PER,0.03776856583417426
PHL,0.05051844371807383
PLW,0.06383889254320678
PNG,0.07248908377848623
POL,0.03111840421085216
PRK,0.038836518388789966
PRT,0.017047689086432616
PRY,0.04468714276522096
PSE,0.04695791694153658
PYF,0.055666740301651293
QAT,0.03660289013065819
ROU,0.028323380054404032
RUS,0.024314016925692933
RWA,0.030391327125959548
SAU,0.025656692297432938
SDN,0.022136983612171916
SEN,0.018442201432336276
SGP,0.029790348307940823
SGS,0.19567958884306072
SHN,0.09037216297363158
SLB,0.08213027566379544
SLE,0.0329350014363711
SLV,0.038648768747898805
SMR,0.04941806176804643
SOM,0.059076834302625204
SPM,0.045980085473392336
SRB,0.03660501462182506
STP,0.024189084419978458
SUR,0.03349883924046712
SVK,0.03385436757620133
SVN,0.028512808452230965
SWE,0.026764345750379167
SWZ,0.023693295061656874
SYC,0.03502677449878131
SYR,0.02509326945180803
TCA,0.04268114863311593
TCD,0.030629836516793327
TGO,0.032533809799375576
THA,0.024841807480413244
TJK,0.03746494531427095
TKL,0.08518870800966573
TKM,0.03347433711557109
TLS,0.16466904102808852
TON,0.09735150086759944
TTO,0.03138392663161072
TUN,0.02397347765061342
TUR,0.02211651409798963
TUV,0.18111624487763212
TWN,0.028470933244395234
TZA,0.024942471375915237
UGA,0.0264878660334195
UKR,0.024379021020569082
UMI,0.05735695276693716
URY,0.034968715065171116
USA,0.020816794845601734
UZB,0.05097288586157913
VAT,0.21435504272467756
VCT,0.04448149780803581
VEN,0.03983660258707565
VGB,0.042145337072036666
VNM,0.04433426047963243
VUT,0.13200239322799598
WLF,0.19978478115750387
WSM,0.0767207922415653
YEM,0.03422090718149769
ZAF,0.02306431390027903
ZMB,0.01921853719669293
ZWE,0.030451306520652716
