,hfi
MHL,0.1027555471716556
MKD,0.046789155434974534
MLI,0.02914153091494398
MLT,0.041758513249107496
MMR,0.15019465364778925
MNG,0.030837149673340624
MNP,0.3409372304816927
MOZ,0.030652358356899213
MRT,0.03092325548192357
MSR,0.03283817857146874
MUS,0.0360146131458449
MWI,0.025698624018202505
MYS,0.030965242062870903
MYT,0.0389426879054034
NAM,0.03541530718875073
NCL,0.04556070597036871
NER,0.033677305742615474
NFK,0.2771515683740393
NGA,0.03560643241749372
NIC,0.053550537162828094
NIU,0.02940480951118727
NLD,0.03188727660621225
NOR,0.04128768982743679
NPL,0.052085816457373854
NRU,0.049181672342032516
NZL,0.03373739416532715
OMN,0.040291885631506236
PAK,0.0371924929205678
PAN,0.029486272071522088
PCN,0.18258853756298626
PER,0.04047066949287064
PHL,0.04284946618344914
PLW,0.19005843650067142
PNG,0.06877968082608923
POL,0.03705967955141581
PRK,0.0649122646566852
PRT,0.02578511382681388
PRY,0.05705639157078914
PSE,0.05235365669525011
PYF,0.05613656756410783
QAT,0.051619671605693654
ROU,0.027413262393323416
RUS,0.023079618298242302
RWA,0.0393919764360749
SAU,0.026271052519618338
SCG,0.029865240844753442
SDN,0.026974943812988775
SEN,0.026258902495736362
SGP,0.03333901450738976
SGS,0.3001506430627724
SHN,0.22933878579113962
SLB,0.12837224518621343
SLE,0.04904011831452388
SLV,0.03573532013075797
SMR,0.05499873781943817
SOM,0.03888928404118901
SPM,0.2769584939587422
STP,0.06477424794938402
SUR,0.04561630776938226
SVK,0.04797953843789678
SVN,0.034581023624975685
SWE,0.037687746402850046
SWZ,0.03800049982456122
SYC,0.05862872044929278
SYR,0.029395772298982
TCA,0.05600370724993471
TCD,0.041502260207823424
TGO,0.04661546353736564
THA,0.025867010474966617
TJK,0.02765572742944068
TKL,0.2567051684514349
TKM,0.08961972261971912
TLS,0.09424473520714399
TON,0.045667813763129846
TTO,0.0342679830066883
TUN,0.029343810993272886
TUR,0.025277608897186634
TUV,0.09679969544911306
TWN,0.035589479294345916
TZA,0.03445811801898983
UGA,0.0434697173884035
UKR,0.020822715929488957
UMI,0.41027919737685736
URY,0.03509091962323169
USA,0.02411419956675297
UZB,0.05919433446464265
VAT,0.046705919461006926
VCT,0.048507718465347925
VEN,0.039167161396136844
VGB,0.09523417553073067
VNM,0.04292307094016728
VUT,0.14339973867731853
WLF,0.08091079343915812
WSM,0.06652721863440099
YEM,0.02664450143886526
ZAF,0.0308863257814704
ZMB,0.02296282521505935
ZWE,0.026920993747508178
