,hfi
ABW,0.052467283516818224
AFG,0.12222413005598591
AGO,0.04716872060041888
AIA,0.06655054722950056
ALB,0.017605804994940123
AND,0.06424034350795615
ANS,0.054116876569325796
ARE,0.017665196194668435
ARG,0.025352163400594513
ARM,0.023948992458226032
ASM,0.05986043879573507
ATA,0.07317854389123749
ATF,0.10284843921937117
ATG,0.024140214927840374
AUS,0.030606676584412042
AUT,0.024183551633842334
AZE,0.023581057257722977
BDI,0.03882136514277222
BEL,0.024680508035280158
BEN,0.022236689193743216
BES,0.49095173170249035
BFA,0.027347998272264258
BGD,0.030021064858759553
BGR,0.028220443558575066
BHR,0.034394713970338886
BHS,0.04801131792266492
BIH,0.02732503759845707
BLM,0.24074753496693443
BLR,0.018318782406291926
BLZ,0.03473166034769582
BMU,0.03420213856203294
BOL,0.045783321680764336
BRA,0.019522428905425333
BRB,0.02906285145289867
BRN,0.058645951512848536
BTN,0.09601905984382156
BVT,0.42796420530041246
BWA,0.06618362627972085
CAF,0.018266536377016692
CAN,0.01919148822529439
CCK,0.14071894200155846
CHE,0.022408723357818055
CHL,0.02822795075464503
CHN,0.019575725782415496
CIV,0.015794321762142235
CMR,0.021442837541133474
COD,0.022781349732746693
COG,0.023855380350455042
COK,0.05603567867308524
COL,0.03252452464425927
COM,0.06200022523439754
CPV,0.024587948814333745
CRI,0.032095898687243204
CUB,0.04534227411888127
CUW,0.0515703893025793
CXR,0.09789695577836117
CYM,0.07366863529616079
CYP,0.024348522600079518
CZE,0.0284356423248769
DEU,0.025716366385093396
DJI,0.04214437536452902
DMA,0.03461170255187383
DNK,0.024733270848585835
DOM,0.023777924399791796
DZA,0.022968876086031827
ECU,0.03313093661453678
EGY,0.02538611438732177
ERI,0.053358213535697606
ESH,0.0855356163054945
ESP,0.01585853216600419
EST,0.029361191702179438
ETH,0.03788379504201109
FIN,0.04252965809779217
FJI,0.05395476831295271
FLK,0.02858009021258775
FRA,0.016727644351142032
FRO,0.09064442277712713
FSM,0.24274013023511776
GAB,0.031566361424090056
GBR,0.024829303002888416
GEO,0.02327879938891954
GHA,0.022250042645365037
GIB,0.07260322955365868
GIN,0.02562669569452999
GMB,0.044333838762889786
GNB,0.07672545570510907
GNQ,0.04901446440915005
GRC,0.019083283914094248
GRD,0.034891434456428935
GRL,0.08338878776557428
GTM,0.034286572505681186
GUM,0.10846277493005547
GUY,0.028635569875053314
HKG,0.04574353766074264
HMD,0.16489374449716504
HND,0.028231469424111956
HRV,0.02855746694723016
HTI,0.03353053430917313
