,hfi
HUN,0.03742152368826788
IDN,0.020109874092342963
IND,0.0188960670112777
IOT,0.11294171243902407
IRL,0.03191000502494911
IRN,0.03247300953592429
IRQ,0.018176819899777322
ISL,0.03170475449446546
ISR,0.030493240911929134
ITA,0.016161153426103428
JAM,0.031039737666145848
JOR,0.01993857457185943
JPN,0.028574454522201736
KAZ,0.024373869851730377
KEN,0.019376465471658562
KGZ,0.042185302092763326
KHM,0.06609035235294541
KIR,0.11100044385480601
KNA,0.028693015973848216
KOR,0.024933030200781043
KWT,0.017155353408951645
LAO,0.049641358852627916
LBN,0.021911853967797244
LBR,0.03246958409788808
LBY,0.03375544235809983
LCA,0.0360327776628036
LKA,0.029642160345913063
LSO,0.0408723989995578
LTU,0.0329826729884435
LUX,0.04141329398153838
LVA,0.033228444810242945
MAC,0.07661278609748283
MAR,0.02101995545797651
MDA,0.03404803293663944
MDG,0.02812451358194397
MDV,0.026214585389048785
MEX,0.027815327115197054
MHL,0.05584314765758386
MKD,0.038832901780835066
MLI,0.01997282072948188
MLT,0.046589261791939035
MMR,0.025966962686953605
MNE,0.03040221371828133
MNG,0.0214366533994198
MNP,0.13996673211924437
MOZ,0.018307019224107445
MRT,0.027331083288681293
MSR,0.04693244419282789
MUS,0.020256586498291602
MWI,0.01863947003405521
MYS,0.02888138088898818
NAM,0.0342811490709623
NCL,0.06164595970709086
NER,0.04249959542261805
NFK,0.19025389872535758
NGA,0.027026042607707
NIC,0.027010936701403157
NIU,0.09626398264595887
NLD,0.018432857506756398
NOR,0.034141988972645955
NPL,0.026234664426672945
NRU,0.19087443218654046
NZL,0.029581259421317615
OMN,0.01462423753862514
PAK,0.020928894474619212
PAN,0.04148279625799853
PCN,0.003654149273229138
PER,0.03038798187868413
PHL,0.032601629252959605
PLW,0.04839405370527
PNG,0.08335449116260386
POL,0.029116642679447788
PRK,0.04173244426921519
PRT,0.018793779493092223
PRY,0.037485927727668185
PSE,0.07713111611660146
PYF,0.06694444521354215
QAT,0.04342469578503302
ROU,0.04337031744861537
RUS,0.020848668282676695
RWA,0.049044159609423946
SAU,0.03512040878697551
SDN,0.01741218674560499
SEN,0.022177770762267353
SGP,0.02657610530916135
SGS,0.5517702145094269
SHN,0.04064017572502199
SLB,0.043066414525272566
SLE,0.03289779891637672
SLV,0.023482740853893996
SMR,0.059117131444351184
SOM,0.056009982661202766
SPM,0.0581585609313812
SRB,0.02554615570777927
SSD,0.031036246836841017
STP,0.01680248386449075
SUR,0.024851082892644056
SVK,0.03235200017662952
SVN,0.027537856474682505
SWE,0.027777612050113053
SWZ,0.03143591204888963
SXM,0.115584469034169
SYC,0.02612809781686361
SYR,0.04166950376726218
TCA,0.07629909798020992
TCD,0.05042804852842669
TGO,0.028601622517334405
THA,0.044733919578825644
TJK,0.042339051557213236
TKL,0.14763337362039977
TKM,0.044113381354899416
TLS,0.033156684420211906
TON,0.05794748586046989
TTO,0.047543233945024604
TUN,0.024607991237391564
TUR,0.022676574097144613
TUV,0.05262634417631212
TWN,0.024077620678910516
TZA,0.023371837830299412
UGA,0.018262053153113907
UKR,0.02002087714977309
UMI,0.07091094745553343
URY,0.03556059473788293
USA,0.02150606791900904
UZB,0.06248922853820521
VAT,0.11696118157436018
VCT,0.027940584324365882
VEN,0.04280546461882821
VGB,0.062060575996230403
VNM,0.03492641243826279
VUT,0.07077161690111748
WLF,0.14676849006612855
WSM,0.07085451900594765
YEM,0.04209772602389015
ZAF,0.013735914819922429
ZMB,0.018691999629637586
ZWE,0.019625297543707267
